unixtime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1648531521000,0.0578,-0.9998,0.2142,1.15,1.7,-0.85,-0.7031,-0.5468,-0.3281,-0.3593
1648531521030,0.0587,-1.0118,0.2233,0.79,2.62,-0.79,-0.7031,-0.5468,-0.3281,-0.3593
1648531521060,0.0524,-1.0135,0.2299,0.54,2.07,-0.42,-0.7031,-0.5468,-0.3281,-0.3593
1648531521090,0.0517,-1.0047,0.2308,0.48,1.89,-0.18,-0.7031,-0.5468,-0.3281,-0.3593
1648531521120,0.0562,-0.9982,0.227,0.36,1.09,-0.24,-0.7031,-0.5468,-0.3281,-0.3593
1648531521150,0.0634,-1.0018,0.2248,0.42,0.42,-0.3,-0.7031,-0.5468,-0.3281,-0.3593
1648531521180,0.06,-1.0064,0.223,0.67,0.79,-0.18,-0.7031,-0.5468,-0.3281,-0.3593
1648531521210,0.056,-1.0084,0.2272,0.91,0.6,-0.12,-0.7031,-0.5468,-0.3281,-0.3593
1648531521240,0.0585,-1.007,0.229,0.85,0.12,-0.12,-0.7031,-0.5468,-0.3281,-0.3593
1648531521270,0.0605,-1.0023,0.2231,0.91,0.0,-0.06,-0.7031,-0.5468,-0.3281,-0.3593
1648531521300,0.064,-1.001,0.2178,0.73,0.48,-0.06,-0.7031,-0.5468,-0.3281,-0.3593
1648531521330,0.0599,-1.0024,0.2192,0.73,0.18,-0.18,-0.7031,-0.5468,-0.3281,-0.3593
1648531521360,0.0593,-1.0048,0.2211,0.79,0.24,-0.12,-0.7031,-0.5468,-0.3281,-0.3593
1648531521390,0.0628,-1.0029,0.2205,0.79,0.42,0.12,-0.7031,-0.5468,-0.3281,-0.3593
1648531521420,0.0666,-1.0029,0.2227,0.79,0.73,0.24,-0.7031,-0.5468,-0.3281,-0.3593
1648531521450,0.0653,-1.0017,0.2149,0.79,1.4,0.36,-0.7031,-0.5468,-0.3281,-0.3593
1648531521480,0.0611,-1.0051,0.2192,0.91,1.64,0.6,-0.7031,-0.5468,-0.3281,-0.3593
1648531521510,0.0625,-1.0072,0.2198,1.28,1.03,0.79,-0.7031,-0.5468,-0.3281,-0.3593
1648531521540,0.0556,-0.9984,0.2113,0.85,2.37,1.15,-0.7031,-0.5468,-0.3281,-0.3593
1648531521570,0.0764,-1.0124,0.2254,0.91,0.73,1.15,-0.7031,-0.5468,-0.3281,-0.3593
1648531521600,0.0457,-1.0025,0.2261,1.09,3.71,1.46,-0.7031,-0.5468,-0.3125,-0.3593
1648531521630,0.061,-0.9963,0.22,1.4,1.64,1.64,-0.7031,-0.5468,-0.3125,-0.3593
1648531521660,0.0555,-0.9925,0.2105,1.52,1.15,0.91,-0.7031,-0.5468,-0.3125,-0.3593
1648531521690,0.0596,-1.0021,0.2211,1.21,1.28,0.36,-0.7031,-0.5468,-0.3125,-0.3593
1648531521720,0.0541,-1.0211,0.2271,1.03,1.03,0.67,-0.7031,-0.5468,-0.3125,-0.3593
1648531521750,0.0513,-1.022,0.2915,2.92,2.07,2.5,-0.7031,-0.5468,-0.3125,-0.3593
1648531521780,-0.0421,-1.0545,0.5185,17.31,-9.26,12.98,-0.7031,-0.5468,-0.3125,-0.3593
1648531521810,0.1276,-1.2043,0.7081,47.31,-14.51,24.81,-0.7031,-0.5468,-0.3125,-0.375
1648531521840,0.5303,-1.2641,0.2432,76.4,41.7,11.21,-0.7187,-0.5312,-0.2968,-0.375
1648531521870,0.2319,-1.0899,-0.1181,51.58,70.73,17.37,-0.7343,-0.5312,-0.2812,-0.375
1648531521900,0.3792,-0.6976,-0.0994,49.81,45.54,5.73,-0.7343,-0.5312,-0.2656,-0.375
1648531521930,0.3431,-0.4458,-0.2835,31.7,52.31,-13.35,-0.75,-0.5156,-0.2656,-0.3593
1648531521960,0.1873,-0.5484,-0.4328,-8.59,62.86,-37.56,-0.75,-0.5312,-0.25,-0.3437
1648531521990,0.0853,-0.743,-0.3648,-43.53,54.32,-45.67,-0.75,-0.5312,-0.25,-0.3281
1648531522020,0.0208,-0.7587,-0.1563,-62.25,37.8,-51.46,-0.75,-0.5468,-0.25,-0.3125
1648531522050,0.0844,-0.8479,0.0168,-75.73,7.92,-58.29,-0.75,-0.5625,-0.2656,-0.2968
1648531522080,0.1514,-0.9332,0.1202,-77.62,6.82,-55.79,-0.7343,-0.5781,-0.2812,-0.2812
1648531522110,0.152,-1.2482,0.1711,-89.69,8.65,-48.9,-0.7343,-0.5937,-0.2968,-0.2656
1648531522140,0.0434,-1.096,0.3592,-67.19,10.54,-44.51,-0.7187,-0.5937,-0.2968,-0.2343
1648531522170,-0.0537,-1.0764,0.4047,-66.7,20.91,-35.42,-0.7187,-0.6093,-0.3125,-0.2343
1648531522200,-0.061,-1.3132,0.4957,-46.89,49.32,-35.36,-0.7187,-0.625,-0.3125,-0.2187
1648531522230,-0.2481,-1.3546,0.7076,-12.25,37.98,-18.23,-0.7187,-0.625,-0.2968,-0.2031
1648531522260,-0.3153,-1.2952,0.6497,24.08,51.64,4.69,-0.7187,-0.625,-0.2968,-0.2031
1648531522290,-0.4544,-1.5142,0.2277,31.21,39.69,28.84,-0.7343,-0.625,-0.2812,-0.2031
1648531522320,-0.0052,-1.3485,0.2438,48.1,-21.4,22.31,-0.7343,-0.6093,-0.2656,-0.2031
1648531522350,0.273,-1.2564,0.2817,52.92,-71.21,2.01,-0.7343,-0.6093,-0.2656,-0.2187
1648531522380,0.6169,-1.1711,0.0754,42.86,-58.29,-12.98,-0.7343,-0.5937,-0.2812,-0.2343
1648531522410,0.4077,-1.0032,0.0308,30.91,22.74,-19.02,-0.75,-0.5781,-0.2812,-0.2343
1648531522440,0.1842,-0.9094,0.0754,19.69,30.0,-29.2,-0.75,-0.5781,-0.2812,-0.2187
1648531522470,0.1087,-1.034,0.1229,4.32,-9.02,-33.1,-0.75,-0.5781,-0.2812,-0.2187
1648531522500,0.2653,-0.9803,0.2199,-3.59,-23.1,-31.82,-0.75,-0.5625,-0.2968,-0.2187
1648531522530,0.3024,-0.9713,0.2435,-7.37,-2.07,-25.73,-0.75,-0.5625,-0.3125,-0.2031
1648531522560,0.1953,-1.0167,0.1966,-7.62,18.9,-19.57,-0.75,-0.5625,-0.3125,-0.2031
1648531522590,-0.0129,-1.0194,0.3106,-6.7,-20.48,-3.04,-0.75,-0.5625,-0.3125,-0.2031
1648531522620,0.1545,-0.9656,0.4464,9.02,-9.45,-4.45,-0.75,-0.5625,-0.3125,-0.2031
1648531522650,-0.0196,-1.035,0.2574,0.67,-14.51,9.08,-0.75,-0.5625,-0.3125,-0.2031
1648531522680,0.3077,-1.0498,0.1369,-4.57,-17.62,9.57,-0.75,-0.5625,-0.3125,-0.2187
1648531522710,0.4564,-0.9589,0.1204,-5.48,-27.62,4.63,-0.75,-0.5625,-0.3125,-0.2187
1648531522740,0.5012,-0.8297,0.0661,-10.3,-8.47,1.89,-0.75,-0.5625,-0.3281,-0.2187
1648531522770,0.5588,-0.9868,0.0241,-25.0,9.93,-7.8,-0.75,-0.5781,-0.3281,-0.2187
1648531522800,0.4653,-1.007,0.1286,-14.93,44.93,-15.79,-0.75,-0.5781,-0.3281,-0.2031
1648531522830,0.335,-0.9642,0.1972,-12.01,10.67,-17.86,-0.75,-0.5781,-0.3281,-0.2031
1648531522860,0.4779,-0.9428,0.3933,9.14,14.57,-23.78,-0.75,-0.5781,-0.3281,-0.1875
1648531522890,0.2718,-0.8842,0.1434,0.6,42.98,-28.41,-0.75,-0.5781,-0.3281,-0.1875
1648531522920,0.3035,-0.9525,0.1914,6.76,56.21,-34.57,-0.75,-0.5781,-0.3125,-0.1718
1648531522950,0.3487,-1.0073,0.2669,7.86,29.32,-53.29,-0.7656,-0.5625,-0.3125,-0.1562
1648531522980,0.2126,-1.0356,0.3818,23.78,4.75,-55.06,-0.7656,-0.5625,-0.3125,-0.1406
1648531523010,0.0603,-1.048,0.4794,31.28,23.71,-56.46,-0.7812,-0.5468,-0.3281,-0.125
1648531523040,-0.4473,-1.0313,0.9107,59.14,7.68,-22.86,-0.7812,-0.5312,-0.3125,-0.125
1648531523070,-0.4287,-1.3256,0.5297,82.31,-37.01,-1.15,-0.7968,-0.5156,-0.3125,-0.1406
1648531523100,-0.0489,-1.445,0.3292,80.85,-35.48,20.12,-0.7968,-0.5,-0.3125,-0.1562
1648531523130,0.2337,-1.4049,0.2098,60.67,-42.19,33.41,-0.8125,-0.5,-0.3125,-0.1718
1648531523160,0.9141,-0.9051,-0.0762,52.98,-76.46,28.1,-0.8125,-0.4843,-0.3281,-0.1875
1648531523190,0.8065,-0.648,-0.4958,18.84,3.96,9.45,-0.8125,-0.4687,-0.3281,-0.2031
1648531523220,0.7282,-0.4995,-0.4002,-21.21,29.63,-15.3,-0.7968,-0.4843,-0.3437,-0.1875
1648531523250,0.522,-0.4362,0.6164,-17.43,6.89,-25.54,-0.8125,-0.4843,-0.3437,-0.1875
1648531523280,0.3306,-1.1367,0.8054,-25.79,12.07,-20.3,-0.8125,-0.4843,-0.3437,-0.1718
1648531523310,0.2907,-1.2489,0.5212,-26.89,103.47,4.57,-0.8125,-0.4843,-0.3281,-0.1562
1648531523340,-0.0639,-0.9401,0.5191,-4.02,158.96,50.0,-0.8125,-0.5,-0.2968,-0.1562
1648531523370,-0.174,-0.8159,0.5111,-2.25,107.68,84.93,-0.8281,-0.5156,-0.25,-0.1562
1648531523400,0.0444,-0.9624,0.449,4.87,60.18,111.21,-0.8281,-0.5156,-0.2187,-0.1562
1648531523430,0.3615,-1.1918,0.4705,27.43,88.35,121.76,-0.8281,-0.5312,-0.1875,-0.1718
1648531523460,0.3966,-1.0318,0.2374,34.02,148.59,124.39,-0.8281,-0.5312,-0.1406,-0.1875
1648531523490,0.2341,-0.9888,0.1431,34.69,205.3,115.0,-0.8281,-0.5312,-0.0937,-0.1875
1648531523520,0.1934,-0.9808,0.1853,30.48,204.2,98.84,-0.8281,-0.5468,-0.0312,-0.1875
1648531523550,0.1143,-0.9528,0.1206,31.34,196.95,83.35,-0.8281,-0.5468,0.0312,-0.1718
1648531523580,0.1177,-0.9191,0.1165,33.04,172.56,62.25,-0.8281,-0.5468,0.0781,-0.1562
1648531523610,0.0803,-0.8431,0.0822,31.89,170.97,39.02,-0.8281,-0.5468,0.125,-0.1406
1648531523640,-0.0238,-0.7766,0.0734,29.51,155.18,12.07,-0.8281,-0.5468,0.1562,-0.125
1648531523670,-0.0269,-0.7708,0.0594,28.59,128.71,-18.71,-0.8281,-0.5468,0.1875,-0.1093
1648531523700,-0.1647,-0.8432,-0.0036,32.98,116.46,-34.75,-0.8281,-0.5468,0.2031,-0.0781
1648531523730,-0.0257,-0.9284,-0.1009,45.42,92.62,-48.65,-0.8125,-0.5468,0.2187,-0.0468
1648531523760,-0.0559,-0.9952,-0.3569,39.63,114.26,-60.73,-0.8125,-0.5468,0.2343,-0.0156
1648531523790,-0.1026,-1.1778,-0.4592,19.57,132.8,-76.64,-0.8125,-0.5468,0.25,0.0156
1648531523820,-0.4068,-1.7685,-0.5661,-1.03,172.5,-91.52,-0.7968,-0.5468,0.2656,0.0625
1648531523850,-0.5378,-2.0371,-0.4805,9.45,148.35,-105.91,-0.7812,-0.5625,0.2968,0.1093
1648531523880,-0.4696,-1.919,-0.4528,14.75,153.1,-97.19,-0.7656,-0.5625,0.3125,0.1406
1648531523910,-0.4456,-1.5555,-0.2834,15.0,153.29,-87.25,-0.75,-0.5625,0.3281,0.1875
1648531523940,-0.3415,-0.9447,-0.0697,23.35,134.57,-75.79,-0.7343,-0.5625,0.3437,0.2187
1648531523970,-0.3277,-0.4674,0.0505,28.47,120.85,-71.28,-0.7187,-0.5468,0.3593,0.25
1648531524000,-0.3138,-0.6929,0.1207,23.96,97.62,-71.64,-0.7031,-0.5468,0.3593,0.2812
1648531524030,-0.164,-0.7431,0.4033,34.81,70.18,-48.59,-0.7031,-0.5468,0.375,0.3125
