time,temp
1634885786220,33.75
1634885786470,33.75
1634885786720,33.68
1634885786970,33.68
1634885787220,33.68
1634885787470,33.68
1634885787720,33.68
1634885787970,33.68
1634885788220,33.68
1634885788471,33.68
1634885788721,33.66
1634885788971,33.66
1634885789221,33.66
1634885789471,33.66
1634885789721,33.71
1634885789971,33.71
1634885790221,33.71
1634885790471,33.71
1634885790721,33.65
1634885790971,33.65
1634885791221,33.65
1634885791471,33.65
1634885791721,33.63
1634885791971,33.63
1634885792221,33.63
1634885792471,33.63
1634885792721,33.55
1634885792971,33.55
1634885793221,33.55
1634885793471,33.55
1634885793721,33.63
1634885793971,33.63
1634885794221,33.63
1634885794471,33.63
1634885794721,33.77
1634885794971,33.77
1634885795221,33.77
1634885795471,33.77
1634885795721,33.59
1634885795971,33.59
1634885796221,33.59
1634885796471,33.59
1634885796721,33.71
1634885796972,33.71
1634885797222,33.71
1634885797472,33.71
1634885797722,33.79
1634885797972,33.79
1634885798222,33.79
1634885798472,33.79
1634885798722,33.75
1634885798972,33.75
1634885799222,33.75
1634885799472,33.75
1634885799722,33.79
1634885799972,33.79
1634885800222,33.79
1634885800472,33.79
1634885800722,33.83
1634885800972,33.83
1634885801222,33.83
1634885801472,33.83
1634885801722,33.77
1634885801972,33.77
1634885802222,33.77
1634885802472,33.77
1634885802722,33.77
1634885802972,33.77
1634885803222,33.77
1634885803472,33.77
1634885803722,33.77
1634885803972,33.77
1634885804222,33.77
1634885804472,33.77
1634885804722,33.87
1634885804972,33.87
1634885805223,33.87
1634885805473,33.87
1634885805723,33.87
1634885805973,33.87
1634885806223,33.87
1634885806473,33.87
1634885806723,33.81
1634885806973,33.81
1634885807223,33.81
1634885807473,33.81
1634885807723,33.81
1634885807973,33.81
1634885808223,33.81
1634885808473,33.81
1634885808723,33.84
1634885808973,33.84
1634885809223,33.84
1634885809473,33.84
1634885809723,33.97
1634885809973,33.97
1634885810223,33.97
1634885810473,33.97
1634885810723,33.97
1634885810973,33.97
1634885811223,33.97
1634885811473,33.97
1634885811723,33.91
1634885811973,33.91
1634885812223,33.91
1634885812473,33.91
1634885812723,33.79
1634885812973,33.79
1634885813223,33.79
1634885813474,33.79
1634885813724,33.87
1634885813974,33.87
1634885814224,33.87
1634885814474,33.87
1634885814724,33.97
1634885814974,33.97
1634885815224,33.97
1634885815474,33.97
1634885815724,33.99
1634885815974,33.99
1634885816224,33.99
1634885816474,33.99
1634885816724,34.0
1634885816974,34.0
1634885817224,34.0
1634885817474,34.0
1634885817724,34.03
1634885817974,34.03
1634885818224,34.03
1634885818474,34.03
1634885818724,34.0
1634885818974,34.0
1634885819224,34.0
1634885819474,34.0
1634885819724,33.95
1634885819974,33.95
1634885820224,33.95
1634885820474,33.95
1634885820724,33.87
1634885820974,33.87
1634885821224,33.87
1634885821474,33.87
1634885821725,33.97
1634885821975,33.97
1634885822225,33.97
1634885822475,33.97
1634885822725,33.97
1634885822975,33.97
1634885823225,33.97
1634885823475,33.97
1634885823725,33.95
1634885823975,33.95
1634885824225,33.95
1634885824475,33.95
1634885824725,34.03
1634885824975,34.03
1634885825225,34.03
1634885825475,34.03
1634885825725,34.05
1634885825975,34.05
1634885826225,34.05
1634885826475,34.05
1634885826725,34.07
1634885826975,34.07
1634885827225,34.07
1634885827475,34.07
1634885827725,34.07
1634885827975,34.07
1634885828225,34.07
1634885828475,34.07
1634885828725,34.11
1634885828975,34.11
1634885829225,34.11
1634885829475,34.11
1634885829725,34.07
1634885829975,34.07
1634885830226,34.07
1634885830476,34.07
1634885830726,34.07
1634885830976,34.07
1634885831226,34.07
1634885831476,34.07
1634885831726,34.05
1634885831976,34.05
1634885832226,34.05
1634885832476,34.05
1634885832726,34.13
1634885832976,34.13
1634885833226,34.13
1634885833476,34.13
1634885833726,34.15
1634885833976,34.15
1634885834226,34.15
1634885834476,34.15
1634885834726,34.15
1634885834976,34.15
1634885835226,34.15
1634885835476,34.15
1634885835726,34.15
1634885835976,34.15
1634885836226,34.15
1634885836476,34.15
1634885836726,34.16
1634885836976,34.16
1634885837226,34.16
1634885837476,34.16
1634885837726,34.15
1634885837976,34.15
1634885838226,34.15
1634885838477,34.15
1634885838727,34.16
1634885838977,34.16
1634885839227,34.16
1634885839477,34.16
1634885839727,34.16
1634885839977,34.16
1634885840227,34.16
1634885840477,34.16
1634885840727,34.16
1634885840977,34.16
1634885841227,34.16
1634885841477,34.16
1634885841727,34.13
1634885841977,34.13
1634885842227,34.13
1634885842477,34.13
1634885842727,34.05
1634885842977,34.05
1634885843227,34.05
1634885843477,34.05
1634885843727,34.05
1634885843977,34.05
1634885844227,34.05
1634885844477,34.05
1634885844727,34.05
1634885844977,34.05
1634885845227,34.05
1634885845477,34.05
1634885845727,34.03
1634885845977,34.03
1634885846227,34.03
1634885846477,34.03
1634885846728,33.97
1634885846978,33.97
1634885847228,33.97
1634885847478,33.97
1634885847728,33.95
1634885847978,33.95
1634885848228,33.95
1634885848478,33.95
1634885848728,33.99
1634885848978,33.99
1634885849228,33.99
1634885849478,33.99
1634885849728,34.07
1634885849978,34.07
1634885850228,34.07
1634885850478,34.07
1634885850728,34.07
1634885850978,34.07
1634885851228,34.07
1634885851478,34.07
1634885851728,33.95
1634885851978,33.95
1634885852228,33.95
1634885852478,33.95
1634885852728,34.15
1634885852978,34.15
1634885853228,34.15
1634885853478,34.15
1634885853728,34.11
1634885853978,34.11
1634885854228,34.11
1634885854478,34.11
1634885854728,34.13
1634885854979,34.13
1634885855229,34.13
1634885855479,34.13
1634885855729,33.99
1634885855979,33.99
1634885856229,33.99
1634885856479,33.99
1634885856729,34.09
1634885856979,34.09
1634885857229,34.09
1634885857479,34.09
1634885857729,34.15
1634885857979,34.15
1634885858229,34.15
1634885858479,34.15
1634885858729,34.18
1634885858979,34.18
1634885859229,34.18
1634885859479,34.18
1634885859729,34.16
1634885859979,34.16
1634885860229,34.16
1634885860479,34.16
1634885860729,34.16
1634885860979,34.16
1634885861229,34.16
1634885861479,34.16
1634885861729,34.16
1634885861979,34.16
1634885862229,34.16
1634885862479,34.16
1634885862729,34.18
1634885862979,34.18
1634885863229,34.18
1634885863480,34.18
1634885863730,34.16
1634885863980,34.16
1634885864230,34.16
1634885864480,34.16
1634885864730,34.21
1634885864980,34.21
1634885865230,34.21
1634885865480,34.21
1634885865730,34.18
1634885865980,34.18
1634885866230,34.18
1634885866480,34.18
1634885866730,34.15
1634885866980,34.15
1634885867230,34.15
1634885867480,34.15
1634885867730,34.11
1634885867980,34.11
1634885868230,34.11
1634885868480,34.11
1634885868730,34.0
1634885868980,34.0
1634885869230,34.0
1634885869480,34.0
1634885869730,34.11
1634885869980,34.11
1634885870230,34.11
1634885870480,34.11
1634885870730,34.16
1634885870980,34.16
1634885871230,34.16
1634885871480,34.16
1634885871731,34.21
1634885871981,34.21
1634885872231,34.21
1634885872481,34.21
1634885872731,34.18
1634885872981,34.18
1634885873231,34.18
1634885873481,34.18
1634885873731,34.16
1634885873981,34.16
1634885874231,34.16
1634885874481,34.16
1634885874731,34.15
1634885874981,34.15
1634885875231,34.15
1634885875481,34.15
1634885875731,34.29
1634885875981,34.29
1634885876231,34.29
1634885876481,34.29
1634885876731,34.16
1634885876981,34.16
1634885877231,34.16
1634885877481,34.16
1634885877731,34.23
1634885877981,34.23
1634885878231,34.23
1634885878481,34.23
1634885878731,34.25
1634885878981,34.25
1634885879231,34.25
1634885879481,34.25
1634885879731,34.25
1634885879982,34.25
1634885880232,34.25
1634885880482,34.25
1634885880732,34.25
1634885880982,34.25
1634885881232,34.25
1634885881482,34.25
1634885881732,34.31
1634885881982,34.31
1634885882232,34.31
1634885882482,34.31
1634885882732,34.27
1634885882982,34.27
1634885883232,34.27
1634885883482,34.27
1634885883732,34.15
1634885883982,34.15
1634885884232,34.15
1634885884482,34.15
1634885884732,34.21
1634885884982,34.21
1634885885232,34.21
1634885885482,34.21
1634885885732,34.31
1634885885982,34.31
1634885886232,34.31
1634885886482,34.31
1634885886732,34.29
1634885886982,34.29
1634885887232,34.29
1634885887482,34.29
1634885887732,34.31
1634885887982,34.31
1634885888233,34.31
1634885888483,34.31
1634885888733,34.29
1634885888983,34.29
1634885889233,34.29
1634885889483,34.29
1634885889733,34.27
1634885889983,34.27
1634885890233,34.27
1634885890483,34.27
1634885890733,34.27
1634885890983,34.27
1634885891233,34.27
1634885891483,34.27
1634885891733,34.25
1634885891983,34.25
1634885892233,34.25
1634885892483,34.25
1634885892733,34.31
1634885892983,34.31
1634885893233,34.31
1634885893483,34.31
1634885893733,34.29
1634885893983,34.29
1634885894233,34.29
1634885894483,34.29
1634885894733,34.29
1634885894983,34.29
1634885895233,34.29
1634885895483,34.29
1634885895733,34.29
1634885895983,34.29
1634885896233,34.29
1634885896484,34.29
1634885896734,34.31
1634885896984,34.31
1634885897234,34.31
1634885897484,34.31
1634885897734,34.33
1634885897984,34.33
1634885898234,34.33
1634885898484,34.33
1634885898734,34.34
1634885898984,34.34
1634885899234,34.34
1634885899484,34.34
1634885899734,34.34
1634885899984,34.34
1634885900234,34.34
1634885900484,34.34
1634885900734,34.34
1634885900984,34.34
1634885901234,34.34
1634885901484,34.34
1634885901734,34.41
1634885901984,34.41
1634885902234,34.41
1634885902484,34.41
1634885902734,34.41
1634885902984,34.41
1634885903234,34.41
1634885903484,34.41
1634885903734,34.43
1634885903984,34.43
1634885904234,34.43
1634885904484,34.43
1634885904734,34.43
1634885904985,34.43
1634885905235,34.43
1634885905485,34.43
1634885905735,34.47
1634885905985,34.47
1634885906235,34.47
1634885906485,34.47
1634885906735,34.45
1634885906985,34.45
1634885907235,34.45
1634885907485,34.45
1634885907735,34.49
1634885907985,34.49
1634885908235,34.49
1634885908485,34.49
1634885908735,34.45
1634885908985,34.45
1634885909235,34.45
1634885909485,34.45
1634885909735,34.34
1634885909985,34.34
1634885910235,34.34
1634885910485,34.34
1634885910735,34.41
1634885910985,34.41
1634885911235,34.41
1634885911485,34.41
1634885911735,34.5
1634885911985,34.5
1634885912235,34.5
1634885912485,34.5
1634885912735,34.45
1634885912985,34.45
1634885913236,34.45
1634885913486,34.45
1634885913736,34.49
1634885913986,34.49
1634885914236,34.49
1634885914486,34.49
1634885914736,34.53
1634885914986,34.53
1634885915236,34.53
1634885915486,34.53
1634885915736,34.53
1634885915986,34.53
1634885916236,34.53
1634885916486,34.53
1634885916736,34.55
1634885916986,34.55
1634885917236,34.55
1634885917486,34.55
1634885917736,34.5
1634885917986,34.5
1634885918236,34.5
1634885918486,34.5
1634885918736,34.5
1634885918986,34.5
1634885919236,34.5
1634885919486,34.5
1634885919736,34.5
1634885919986,34.5
1634885920236,34.5
1634885920486,34.5
1634885920736,34.57
1634885920986,34.57
1634885921236,34.57
1634885921487,34.57
1634885921737,34.59
1634885921987,34.59
1634885922237,34.59
1634885922487,34.59
1634885922737,34.59
1634885922987,34.59
1634885923237,34.59
1634885923487,34.59
1634885923737,34.59
1634885923987,34.59
1634885924237,34.59
1634885924487,34.59
1634885924737,34.63
1634885924987,34.63
1634885925237,34.63
1634885925487,34.63
1634885925737,34.63
1634885925987,34.63
1634885926237,34.63
1634885926487,34.63
1634885926737,34.63
1634885926987,34.63
1634885927237,34.63
1634885927487,34.63
1634885927737,34.65
1634885927987,34.65
1634885928237,34.65
1634885928487,34.65
1634885928737,34.63
1634885928987,34.63
1634885929237,34.63
1634885929487,34.63
1634885929738,34.63
1634885929988,34.63
1634885930238,34.63
1634885930488,34.63
1634885930738,34.59
1634885930988,34.59
1634885931238,34.59
1634885931488,34.59
1634885931738,34.59
1634885931988,34.59
1634885932238,34.59
1634885932488,34.59
1634885932738,34.61
1634885932988,34.61
1634885933238,34.61
1634885933488,34.61
1634885933738,34.47
1634885933988,34.47
1634885934238,34.47
1634885934488,34.47
1634885934738,34.53
1634885934988,34.53
1634885935238,34.53
1634885935488,34.53
1634885935738,34.41
1634885935988,34.41
1634885936238,34.41
1634885936488,34.41
1634885936738,34.43
1634885936988,34.43
1634885937238,34.43
1634885937488,34.43
1634885937738,34.45
1634885937988,34.45
1634885938239,34.45
1634885938489,34.45
1634885938739,34.47
1634885938989,34.47
1634885939239,34.47
1634885939489,34.47
1634885939739,34.53
1634885939989,34.53
1634885940239,34.53
1634885940489,34.53
1634885940739,34.55
1634885940989,34.55
1634885941239,34.55
1634885941489,34.55
1634885941739,34.5
1634885941989,34.5
1634885942239,34.5
1634885942489,34.5
1634885942739,34.47
1634885942989,34.47
1634885943239,34.47
1634885943489,34.47
1634885943739,34.61
1634885943989,34.61
1634885944239,34.61
1634885944489,34.61
1634885944739,34.63
1634885944989,34.63
1634885945239,34.63
1634885945489,34.63
1634885945739,34.5
1634885945989,34.5
1634885946239,34.5
1634885946490,34.5
1634885946740,34.63
1634885946990,34.63
1634885947240,34.63
1634885947490,34.63
1634885947740,34.59
1634885947990,34.59
1634885948240,34.59
1634885948490,34.59
1634885948740,34.63
1634885948990,34.63
1634885949240,34.63
1634885949490,34.63
1634885949740,34.63
1634885949990,34.63
1634885950240,34.63
1634885950490,34.63
1634885950740,34.63
1634885950990,34.63
1634885951240,34.63
1634885951490,34.63
1634885951740,34.5
1634885951990,34.5
1634885952240,34.5
1634885952490,34.5
1634885952740,34.55
1634885952990,34.55
1634885953240,34.55
1634885953490,34.55
1634885953740,34.59
1634885953990,34.59
1634885954240,34.59
1634885954490,34.59
1634885954741,34.59
1634885954991,34.59
1634885955241,34.59
1634885955491,34.59
1634885955741,34.63
1634885955991,34.63
1634885956241,34.63
1634885956491,34.63
1634885956741,34.61
1634885956991,34.61
1634885957241,34.61
1634885957491,34.61
1634885957741,34.59
1634885957991,34.59
1634885958241,34.59
1634885958491,34.59
1634885958741,34.63
1634885958991,34.63
1634885959241,34.63
1634885959491,34.63
1634885959741,34.65
1634885959991,34.65
1634885960241,34.65
1634885960491,34.65
1634885960741,34.63
1634885960991,34.63
1634885961241,34.63
