time,eda
1648531510238,0.589199
1648531510488,0.585357
1648531510738,0.585357
1648531510988,0.587919
1648531511238,0.586638
1648531511489,0.589199
1648531511739,0.59048
1648531511989,0.589199
1648531512239,0.589199
1648531512489,0.585357
1648531512739,0.585357
1648531512989,0.586638
1648531513239,0.586638
1648531513489,0.589199
1648531513739,0.59048
1648531513989,0.589199
1648531514239,0.589199
1648531514489,0.587919
1648531514739,0.589199
1648531514989,0.585357
1648531515239,0.589199
1648531515489,0.587919
1648531515739,0.589199
1648531515989,0.589199
1648531516239,0.587919
1648531516489,0.584076
1648531516739,0.585357
1648531516989,0.585357
1648531517239,0.586638
1648531517489,0.587919
1648531517739,0.587919
1648531517989,0.587919
1648531518239,0.584076
1648531518489,0.584076
1648531518739,0.586638
1648531518989,0.584076
1648531519239,0.586638
1648531519489,0.586638
1648531519740,0.587919
1648531519990,0.587919
1648531520240,0.584076
1648531520490,0.584076
1648531520740,0.586638
1648531520990,0.584076
1648531521240,0.587919
1648531521490,0.586638
1648531521740,0.587919
1648531521990,0.587919
1648531522240,0.586638
1648531522490,0.595604
1648531522740,0.598166
1648531522990,0.596885
1648531523240,0.600727
1648531523490,0.593042
1648531523740,0.595604
1648531523990,0.587919
1648531524240,0.584076
1648531524490,0.585357
1648531524740,0.584076
1648531524990,0.584076
1648531525240,0.587919
1648531525490,0.593042
1648531525740,0.596885
1648531525990,0.594323
1648531526240,0.593042
1648531526490,0.59048
1648531526740,0.589199
1648531526990,0.59048
1648531527240,0.596885
1648531527490,0.593042
1648531527741,0.594323
1648531527991,0.593042
1648531528241,0.593042
1648531528491,0.59048
1648531528741,0.587919
1648531528991,0.587919
1648531529241,0.593042
1648531529491,0.591761
1648531529741,0.589199
1648531529991,0.59048
1648531530241,0.59048
1648531530491,0.586638
1648531530741,0.586638
1648531530991,0.587919
1648531531241,0.593042
1648531531491,0.591761
1648531531741,0.591761
1648531531991,0.591761
1648531532241,0.594323
1648531532491,0.589199
1648531532741,0.589199
1648531532991,0.591761
1648531533241,0.595604
1648531533491,0.591761
1648531533741,0.591761
1648531533991,0.593042
1648531534241,0.591761
1648531534491,0.589199
1648531534741,0.587919
1648531534991,0.587919
1648531535241,0.596885
1648531535491,0.594323
1648531535741,0.595604
1648531535992,0.595604
1648531536242,0.59048
1648531536492,0.589199
1648531536742,0.587919
1648531536992,0.587919
1648531537242,0.59048
1648531537492,0.591761
1648531537742,0.59048
1648531537992,0.59048
1648531538242,0.586638
1648531538492,0.587919
1648531538742,0.587919
1648531538992,0.587919
1648531539242,0.59048
1648531539492,0.591761
1648531539742,0.593042
1648531539992,0.591761
1648531540242,0.587919
1648531540492,0.586638
1648531540742,0.589199
1648531540992,0.586638
1648531541242,0.589199
1648531541492,0.591761
1648531541742,0.591761
1648531541992,0.59048
1648531542242,0.587919
1648531542492,0.587919
1648531542742,0.589199
1648531542992,0.589199
1648531543242,0.589199
1648531543492,0.59048
1648531543742,0.591761
1648531543993,0.591761
1648531544243,0.587919
1648531544493,0.587919
1648531544743,0.589199
1648531544993,0.591761
1648531545243,0.591761
1648531545493,0.59048
1648531545743,0.594323
1648531545993,0.591761
