,sheet_no,session,box,pattern,total_amount,item1,item2,item3,item4,item5,amount1,amount2,amount3,amount4,amount5
0,DEN050001,S0500,1,M5,5,301,315,403,404,405,1,1,1,1,1
1,DEN050002,S0500,2,M1,1,402,,,,,1,,,,
2,DEN050003,S0500,3,L4,4,501,502,503,601,,1,1,1,1,
3,DEN050004,S0500,4,S1,1,203,,,,,1,,,,
4,DEN050005,S0500,5,S2,2,107,221,,,,1,1,,,
5,DEN050006,S0500,6,S1,1,219,,,,,1,,,,
6,DEN050007,S0500,7,M1,1,401,,,,,1,,,,
7,DEN050008,S0500,8,S1,2,113,,,,,2,,,,
8,DEN050009,S0500,9,L1,1,602,,,,,1,,,,
9,DEN050010,S0500,10,M1,1,307,,,,,1,,,,
10,DEN050011,S0500,11,M1,1,306,,,,,1,,,,
11,DEN050012,S0500,12,M1,1,314,,,,,1,,,,
12,DEN050013,S0500,13,M1,1,308,,,,,1,,,,
13,DEN050014,S0500,14,S3,3,115,208,211,,,1,1,1,,
14,DEN050015,S0500,15,S4,4,109,204,212,222,,1,1,1,1,
15,DEN050016,S0500,16,S1,1,230,,,,,1,,,,
16,DEN050017,S0500,17,S1,1,114,,,,,1,,,,
17,DEN050018,S0500,18,MIX3,3,103,225,302,,,1,1,1,,
18,DEN050019,S0500,19,M1,1,303,,,,,1,,,,
19,DEN050020,S0500,20,M1,1,406,,,,,1,,,,
