time,bvp
1648531510011,-110.82
1648531510027,-111.75
1648531510043,-111.07
1648531510058,-107.78
1648531510074,-101.5
1648531510089,-92.49
1648531510105,-81.53
1648531510121,-69.63
1648531510136,-57.81
1648531510152,-46.88
1648531510168,-37.33
1648531510183,-29.36
1648531510199,-22.89
1648531510214,-17.74
1648531510230,-13.6
1648531510246,-10.12
1648531510261,-7.02
1648531510277,-4.04
1648531510293,-1.08
1648531510308,1.88
1648531510324,4.73
1648531510339,7.3
1648531510355,9.43
1648531510371,11.03
1648531510386,12.04
1648531510402,12.49
1648531510418,12.38
1648531510433,11.72
1648531510449,10.51
1648531510464,8.79
1648531510480,6.66
1648531510496,4.27
1648531510511,1.86
1648531510527,-0.4
1648531510543,-2.38
1648531510558,-4.17
1648531510574,-6.0
1648531510589,-8.26
1648531510605,-11.31
1648531510621,-15.24
1648531510636,-19.65
1648531510652,-23.58
1648531510668,-25.72
1648531510683,-24.78
1648531510699,-20.03
1648531510714,-11.68
1648531510730,-0.92
1648531510746,10.37
1648531510761,20.17
1648531510777,26.95
1648531510793,30.01
1648531510808,29.48
1648531510824,26.11
1648531510839,20.91
1648531510855,14.89
1648531510871,8.97
1648531510886,3.95
1648531510902,0.54
1648531510918,-0.72
1648531510933,0.41
1648531510949,3.75
1648531510964,8.69
1648531510980,14.36
1648531510996,19.91
1648531511011,24.73
1648531511027,28.65
1648531511043,31.75
1648531511058,34.27
1648531511074,36.36
1648531511089,37.93
1648531511105,38.76
1648531511121,38.58
1648531511136,37.22
1648531511152,34.72
1648531511168,31.32
1648531511183,27.37
1648531511199,23.24
1648531511214,19.19
1648531511230,15.28
1648531511246,11.37
1648531511261,7.14
1648531511277,2.22
1648531511293,-3.68
1648531511308,-10.49
1648531511324,-17.67
1648531511339,-24.2
1648531511355,-28.74
1648531511371,-30.06
1648531511386,-27.46
1648531511402,-21.02
1648531511418,-11.71
1648531511433,-1.02
1648531511449,9.4
1648531511464,18.23
1648531511480,24.7
1648531511496,28.62
1648531511511,30.2
1648531511527,29.82
1648531511543,27.99
1648531511558,25.27
1648531511574,22.3
1648531511589,19.8
1648531511605,18.39
1648531511621,18.46
1648531511636,19.97
1648531511652,22.47
1648531511668,25.22
1648531511683,27.47
1648531511699,28.71
1648531511714,28.85
1648531511730,28.16
1648531511746,27.07
1648531511761,25.87
1648531511777,24.61
1648531511793,23.05
1648531511808,20.85
1648531511824,17.77
1648531511839,13.87
1648531511855,9.47
1648531511871,5.03
1648531511886,1.02
1648531511902,-2.32
1648531511918,-4.98
1648531511933,-7.26
1648531511949,-9.54
1648531511964,-12.3
1648531511980,-15.83
1648531511996,-20.21
1648531512011,-25.09
1648531512027,-29.71
1648531512043,-32.94
1648531512058,-33.59
1648531512074,-30.8
1648531512089,-24.35
1648531512105,-14.86
1648531512121,-3.62
1648531512136,7.73
1648531512152,17.7
1648531512168,25.27
1648531512183,30.03
1648531512199,32.04
1648531512214,31.64
1648531512230,29.31
1648531512246,25.65
1648531512261,21.4
1648531512277,17.42
1648531512293,14.54
1648531512308,13.29
1648531512324,13.71
1648531512339,15.33
1648531512355,17.37
1648531512371,19.01
1648531512386,19.76
1648531512402,19.55
1648531512418,18.63
1648531512433,17.35
1648531512449,15.97
1648531512464,14.44
1648531512480,12.58
1648531512496,10.12
1648531512511,7.0
1648531512527,3.36
1648531512543,-0.41
1648531512558,-3.9
1648531512574,-6.77
1648531512589,-8.98
1648531512605,-10.72
1648531512621,-12.39
1648531512636,-14.46
1648531512652,-17.27
1648531512668,-20.96
1648531512683,-25.32
1648531512699,-29.71
1648531512714,-33.11
1648531512730,-34.36
1648531512746,-32.38
1648531512761,-26.64
1648531512777,-17.41
1648531512793,-5.79
1648531512808,6.58
1648531512824,17.97
1648531512839,27.06
1648531512855,33.21
1648531512871,36.42
1648531512886,37.17
1648531512902,36.1
1648531512918,33.79
1648531512933,30.81
1648531512949,27.68
1648531512964,24.9
1648531512980,22.87
1648531512996,21.79
1648531513011,21.58
1648531513027,21.9
1648531513043,22.31
1648531513058,22.42
1648531513074,21.99
1648531513089,20.96
1648531513105,19.38
1648531513121,17.33
1648531513136,14.9
1648531513152,12.21
1648531513168,9.33
1648531513183,6.4
1648531513199,3.54
1648531513214,0.83
1648531513230,-1.7
1648531513246,-4.07
1648531513261,-6.37
1648531513277,-8.77
1648531513293,-11.49
1648531513308,-14.73
1648531513324,-18.54
1648531513339,-22.61
1648531513355,-26.23
1648531513371,-28.41
1648531513386,-28.13
1648531513402,-24.77
1648531513418,-18.35
1648531513433,-9.62
1648531513449,0.15
1648531513464,9.54
1648531513480,17.33
1648531513496,22.75
1648531513511,25.53
1648531513527,25.84
1648531513543,24.15
1648531513558,21.09
1648531513574,17.39
1648531513589,13.71
1648531513605,10.63
1648531513621,8.47
1648531513636,7.36
1648531513652,7.19
1648531513668,7.74
1648531513683,8.74
1648531513699,9.88
1648531513714,10.89
1648531513730,11.54
1648531513746,11.65
1648531513761,11.14
1648531513777,10.04
1648531513793,8.48
1648531513808,6.62
1648531513824,4.59
1648531513839,2.5
1648531513855,0.41
1648531513871,-1.63
1648531513886,-3.59
1648531513902,-5.52
1648531513918,-7.56
1648531513933,-9.91
1648531513949,-12.77
1648531513964,-16.18
1648531513980,-19.9
1648531513996,-23.31
1648531514011,-25.56
1648531514027,-25.76
1648531514043,-23.3
1648531514058,-18.08
1648531514074,-10.63
1648531514089,-1.96
1648531514105,6.73
1648531514121,14.31
1648531514136,20.0
1648531514152,23.42
1648531514168,24.58
1648531514183,23.76
1648531514199,21.44
1648531514214,18.23
1648531514230,14.8
1648531514246,11.81
1648531514261,9.76
1648531514277,8.89
1648531514293,9.09
1648531514308,10.01
1648531514324,11.12
1648531514339,11.99
1648531514355,12.36
1648531514371,12.19
1648531514386,11.6
1648531514402,10.76
1648531514418,9.78
1648531514433,8.67
1648531514449,7.36
1648531514464,5.79
1648531514480,3.92
1648531514496,1.8
1648531514511,-0.45
1648531514527,-2.77
1648531514543,-5.08
1648531514558,-7.38
1648531514574,-9.69
1648531514589,-12.06
1648531514605,-14.59
1648531514621,-17.3
1648531514636,-20.1
1648531514652,-22.6
1648531514668,-24.15
1648531514683,-23.94
1648531514699,-21.36
1648531514714,-16.26
1648531514730,-9.17
1648531514746,-1.19
1648531514761,6.41
1648531514777,12.54
1648531514793,16.62
1648531514808,18.59
1648531514824,18.79
1648531514839,17.7
1648531514855,15.76
1648531514871,13.37
1648531514886,10.79
1648531514902,8.32
1648531514918,6.21
1648531514933,4.72
1648531514949,3.98
1648531514964,3.98
1648531514980,4.58
1648531514996,5.52
1648531515011,6.51
1648531515027,7.29
1648531515043,7.67
1648531515058,7.56
1648531515074,6.98
1648531515089,5.99
1648531515105,4.62
1648531515121,2.91
1648531515136,0.88
1648531515152,-1.38
1648531515168,-3.75
1648531515183,-6.07
1648531515199,-8.22
1648531515214,-10.2
1648531515230,-12.13
1648531515246,-14.25
1648531515261,-16.67
1648531515277,-19.33
1648531515293,-21.74
1648531515308,-23.14
1648531515324,-22.68
1648531515339,-19.81
1648531515355,-14.55
1648531515371,-7.53
1648531515386,0.18
1648531515402,7.41
1648531515418,13.18
1648531515433,16.99
1648531515449,18.73
1648531515464,18.64
1648531515480,17.09
1648531515496,14.47
1648531515511,11.18
1648531515527,7.65
1648531515543,4.31
1648531515558,1.55
1648531515574,-0.3
1648531515589,-1.1
1648531515605,-0.92
1648531515621,-0.07
1648531515636,1.01
1648531515652,1.87
1648531515668,2.14
1648531515683,1.63
1648531515699,0.35
1648531515714,-1.52
1648531515730,-3.72
1648531515746,-5.97
1648531515761,-8.01
1648531515777,-9.73
1648531515793,-11.13
1648531515808,-12.33
1648531515824,-13.55
1648531515839,-14.96
1648531515855,-16.7
1648531515871,-18.74
1648531515886,-20.93
1648531515902,-22.89
1648531515918,-24.1
1648531515933,-23.98
1648531515949,-22.02
1648531515964,-18.04
1648531515980,-12.29
1648531515996,-5.45
1648531516011,1.5
1648531516027,7.55
1648531516043,11.96
1648531516058,14.39
1648531516074,14.94
1648531516089,14.02
1648531516105,12.2
1648531516121,9.97
1648531516136,7.75
1648531516152,5.82
1648531516168,4.36
1648531516183,3.52
1648531516199,3.35
1648531516214,3.83
1648531516230,4.79
1648531516246,5.96
1648531516261,7.03
1648531516277,7.74
1648531516293,7.95
1648531516308,7.65
1648531516324,6.86
1648531516339,5.65
1648531516355,4.06
1648531516371,2.12
1648531516386,-0.08
1648531516402,-2.41
1648531516418,-4.76
1648531516433,-7.05
1648531516449,-9.33
1648531516464,-11.74
1648531516480,-14.48
1648531516496,-17.66
1648531516511,-21.19
1648531516527,-24.68
1648531516543,-27.44
1648531516558,-28.6
1648531516574,-27.4
1648531516589,-23.45
1648531516605,-16.98
1648531516621,-8.84
1648531516636,-0.3
1648531516652,7.32
1648531516668,13.01
1648531516683,16.35
1648531516699,17.43
1648531516714,16.77
1648531516730,14.96
1648531516746,12.58
1648531516761,10.05
1648531516777,7.71
1648531516793,5.83
1648531516808,4.66
1648531516824,4.36
1648531516839,4.89
1648531516855,6.03
1648531516871,7.36
1648531516886,8.41
1648531516902,8.83
1648531516918,8.45
1648531516933,7.35
1648531516949,5.8
1648531516964,4.11
1648531516980,2.51
1648531516996,1.11
1648531517011,-0.1
1648531517027,-1.26
1648531517043,-2.49
1648531517058,-3.93
