time,acc_x,acc_y,acc_z
1648531510031,-0.04142597115222834,-0.09241178180112475,0.011153146079446091
1648531510062,-0.04142597115222834,-0.09241178180112475,0.011153146079446091
1648531510093,-0.04301927773500635,-0.09241178180112475,0.007966532913890064
1648531510124,-0.04142597115222834,-0.09400508838390277,0.007966532913890064
1648531510156,-0.04142597115222834,-0.09241178180112475,0.007966532913890064
1648531510187,-0.04142597115222834,-0.09400508838390277,0.007966532913890064
1648531510218,-0.04301927773500635,-0.09400508838390277,0.007966532913890064
1648531510249,-0.04142597115222834,-0.09400508838390277,0.007966532913890064
1648531510281,-0.04142597115222834,-0.09400508838390277,0.006373226331112052
1648531510312,-0.04142597115222834,-0.09241178180112475,0.007966532913890064
1648531510343,-0.04142597115222834,-0.09400508838390277,0.007966532913890064
1648531510374,-0.039832664569450324,-0.09400508838390277,0.007966532913890064
1648531510406,-0.039832664569450324,-0.09400508838390277,0.007966532913890064
1648531510437,-0.039832664569450324,-0.09400508838390277,0.009559839496668077
1648531510468,-0.039832664569450324,-0.09241178180112475,0.009559839496668077
1648531510499,-0.039832664569450324,-0.09400508838390277,0.011153146079446091
1648531510531,-0.04142597115222834,-0.09400508838390277,0.009559839496668077
1648531510562,-0.04142597115222834,-0.09400508838390277,0.009559839496668077
1648531510593,-0.04142597115222834,-0.09241178180112475,0.009559839496668077
1648531510624,-0.04142597115222834,-0.09241178180112475,0.009559839496668077
1648531510656,-0.04301927773500635,-0.09241178180112475,0.007966532913890064
1648531510687,-0.04301927773500635,-0.09241178180112475,0.007966532913890064
1648531510718,-0.04301927773500635,-0.09081847521834674,0.009559839496668077
1648531510749,-0.04301927773500635,-0.09081847521834674,0.007966532913890064
1648531510781,-0.04301927773500635,-0.09241178180112475,0.007966532913890064
1648531510812,-0.044612584317784365,-0.09400508838390277,0.009559839496668077
1648531510843,-0.04301927773500635,-0.09081847521834674,0.009559839496668077
1648531510874,-0.04301927773500635,-0.09081847521834674,0.009559839496668077
1648531510906,-0.04301927773500635,-0.09241178180112475,0.011153146079446091
1648531510937,-0.04142597115222834,-0.09241178180112475,0.009559839496668077
1648531510968,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531510999,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511031,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511062,-0.04301927773500635,-0.09081847521834674,0.009559839496668077
1648531511093,-0.04301927773500635,-0.09081847521834674,0.009559839496668077
1648531511124,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511156,-0.044612584317784365,-0.09241178180112475,0.009559839496668077
1648531511187,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511218,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511249,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511281,-0.04142597115222834,-0.09241178180112475,0.009559839496668077
1648531511312,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511343,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511374,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511406,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
1648531511437,-0.04301927773500635,-0.09241178180112475,0.009559839496668077
