unixtime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1648531521000,-0.2136,-0.965,-0.0292,0.12,-0.54,-0.24,0.3125,0.4375,0.5625,0.6093
1648531521030,-0.1855,-0.9829,-0.0325,-0.48,-1.52,0.06,0.3125,0.4375,0.5625,0.6093
1648531521060,-0.1909,-0.9914,-0.0249,0.0,0.54,-0.18,0.3125,0.4375,0.5625,0.6093
1648531521090,-0.1981,-0.9781,-0.0225,0.48,0.85,-0.06,0.3125,0.4375,0.5625,0.6093
1648531521120,-0.195,-0.9801,-0.0269,0.18,-0.36,-0.24,0.3125,0.4375,0.5625,0.6093
1648531521150,-0.1931,-0.9775,-0.0332,-0.06,-0.36,-0.6,0.3125,0.4375,0.5625,0.6093
1648531521180,-0.1995,-0.9788,-0.0284,-0.06,0.36,-0.48,0.3125,0.4375,0.5625,0.6093
1648531521210,-0.2025,-0.9799,-0.0269,-0.36,-0.06,-0.42,0.3125,0.4375,0.5625,0.6093
1648531521240,-0.201,-0.9843,-0.0294,-0.67,-0.97,-0.54,0.3125,0.4375,0.5625,0.6093
1648531521270,-0.2022,-0.9865,-0.026,-0.24,-0.67,-0.24,0.3125,0.4375,0.5625,0.6093
1648531521300,-0.1983,-0.9808,-0.0235,-0.12,-0.79,-0.3,0.3125,0.4375,0.5625,0.6093
1648531521330,-0.1949,-0.9807,-0.0195,0.0,-0.79,-0.36,0.3125,0.4375,0.5625,0.6093
1648531521360,-0.1934,-0.9814,-0.023,0.12,-0.24,-0.42,0.3125,0.4375,0.5625,0.6093
1648531521390,-0.1968,-0.9821,-0.0225,0.24,0.24,-0.6,0.3125,0.4375,0.5625,0.6093
1648531521420,-0.1865,-0.9841,-0.0207,0.91,2.07,-1.52,0.3125,0.4375,0.5625,0.6093
1648531521450,-0.1972,-0.979,-0.0257,1.28,3.1,-0.91,0.3125,0.4375,0.5625,0.6093
1648531521480,-0.1986,-0.9769,-0.0302,0.6,1.03,-0.42,0.3125,0.4375,0.5468,0.6093
1648531521510,-0.1968,-0.9761,-0.0273,0.54,1.09,-0.3,0.3125,0.4375,0.5468,0.6093
1648531521540,-0.2009,-0.9831,-0.0198,0.85,1.09,-0.3,0.3125,0.4375,0.5468,0.6093
1648531521570,-0.191,-0.9836,-0.0242,1.09,0.79,0.0,0.3125,0.4375,0.5468,0.6093
1648531521600,-0.1937,-0.9996,-0.029,1.09,1.46,-0.06,0.3125,0.4375,0.5468,0.6093
1648531521630,-0.2003,-0.9887,-0.0191,1.28,3.53,-0.36,0.3125,0.4375,0.5468,0.6093
1648531521660,-0.22,-0.9625,-0.0225,1.95,2.56,-0.06,0.3125,0.4375,0.5468,0.6093
1648531521690,-0.2036,-0.9764,-0.0333,1.58,0.3,0.12,0.3125,0.4375,0.5468,0.6093
1648531521720,-0.2008,-0.9887,-0.0223,1.82,1.15,0.36,0.3125,0.4375,0.5468,0.6093
1648531521750,-0.2225,-1.0144,0.1134,7.19,6.15,3.35,0.3125,0.4375,0.5468,0.6093
1648531521780,-0.2668,-1.033,0.364,25.0,20.79,5.67,0.3125,0.4375,0.5468,0.6093
1648531521810,-0.5767,-1.0806,0.419,67.01,38.29,30.85,0.3281,0.4375,0.5312,0.625
1648531521840,-0.5866,-1.1362,-0.2513,69.02,-2.19,48.23,0.3281,0.4531,0.5156,0.6406
1648531521870,-0.3312,-0.9114,-0.6605,57.5,-20.18,37.43,0.3281,0.4375,0.5,0.6406
1648531521900,-0.4687,-0.4323,-0.812,23.35,-8.96,53.53,0.3125,0.4531,0.4843,0.6562
1648531521930,-0.3681,-0.2624,-0.794,-36.34,-40.36,63.84,0.2968,0.4531,0.4843,0.6562
1648531521960,-0.314,-0.3265,-0.762,-85.48,-69.93,56.21,0.2656,0.4687,0.5,0.6562
1648531521990,-0.103,-0.425,-0.7165,-96.95,-87.62,26.52,0.2343,0.4687,0.5156,0.6562
1648531522020,0.1291,-0.42,-0.5181,-99.93,-86.4,11.34,0.2187,0.4531,0.5312,0.6562
1648531522050,0.2502,-0.6445,-0.307,-117.01,-32.68,17.19,0.1875,0.4531,0.5625,0.6406
1648531522080,0.0726,-1.048,-0.1588,-129.2,36.58,12.92,0.1718,0.4687,0.5781,0.625
1648531522110,0.0439,-1.6638,0.0784,-130.97,80.18,-24.26,0.1718,0.4843,0.5937,0.5937
1648531522140,-0.2338,-1.403,0.4884,-98.71,111.58,-44.14,0.1875,0.4843,0.625,0.5625
1648531522170,-0.8321,-1.3695,0.6394,-65.67,67.19,-35.0,0.1875,0.5,0.625,0.5468
1648531522200,-0.4367,-1.5211,0.9848,-7.07,-13.41,-28.9,0.2031,0.5,0.625,0.5312
